# VotingName;TSEName
Washington Reis;Washington Reis
Cesar Souza;Cesar Souza
Flavinho;-
Reginaldo Lopes;Reginaldo Lopes
José Priante;Priante
Vicentinho;Vicentinho
Delegado Éder Mauro;Delegado Eder Mauro
Leopoldo Meyer;Leopoldo Meyer
José Airton Cirilo;José Airton
Joaquim Passarinho;Joaquim Passarinho
Professora Marcivania;-
Zé Silva;Zé Silva
Leo de Brito;Léo Do Pt
Victor Mendes;-
Manoel Junior;Manoel Junior
Sarney Filho;Sarney Filho
Geraldo Resende;Geraldo Resende
Herculano Passos;Herculano Passos
Gilberto Nascimento;Gilberto Nascimento
Eduardo da Fonte;Eduardo da Fonte
Zé Geraldo;José Geraldo
Efraim Filho;Efraim Filho
Milton Monti;Milton Monti
Luiz Sérgio;Luiz Sérgio
Luiz Carlos Ramos;Luiz Carlos Ramos Do Chapeu
Covatti Filho;Covatti Filho
Marcos Reategui;-
César Halum;Cesar Halum
Izalci;Izalci
Henrique Fontana;Henrique Fontana
Josi Nunes;Josi Nunes
Eduardo Cury;Eduardo Cury
Átila Lira;Atila Lira
Christiane de Souza Yared;-
Luciana Santos;Luciana Santos
Eduardo Cunha;ABSTENÇÃO
Vander Loubet;Vander Loubet
Evair de Melo;-
Bacelar;Joao Carlos Bacelar
Marcos Montes;Marcos Montes
Pedro Cunha Lima;Pedro Cunha Lima
Geovania de Sá;Geovania de Sá
Roberto Sales;Roberto Sales
Angelim;Angelim
Mauro Mariani;Mauro Mariani
Caio Narcio;Caio Narcio
Nelson Meurer;Nelson Meurer
Betinho Gomes;Betinho
Diego Andrade;Diego Andrade
Raimundo Gomes de Matos;Raimundo Matos
Expedito Netto;Expedito Netto
Paulo Feijó;-
Fábio Ramalho;Fabinho Ramalho
Rogério Rosso;Rogério Rosso
Otavio Leite;Otavio Leite
JHC;Jhc
Miguel Lombardi;Miguel Lombardi
Osmar Terra;Osmar Terra
Mário Negromonte Jr.;Mário Negromonte Jr
Giuseppe Vecci;Giuseppe Vecci
Ságuas Moraes;Ságuas Moraes
Carlos Zarattini;Zarattini
Marcus Vicente;Marcus Vicente
Sóstenes Cavalcante;Sóstenes Cavalcante
Deley;Deley
Aluisio Mendes;-
Ronaldo Carletto;Ronaldo Carletto
Lúcio Vale;Lucio Vale
Aguinaldo Ribeiro;Aguinaldo Ribeiro
Fábio Mitidieri;-
Átila Lins;Atila Lins
Cabuçu Borges;-
Rubens Bueno;Rubens Bueno
Júlio Delgado;Julio Delgado
Gonzaga Patriota;Gonzaga Patriota
Zeca Dirceu;Zeca Dirceu
Saraiva Felipe;Saraiva Felipe
Guilherme Mussi;Guilherme Mussi
José Carlos Aleluia;Aleluia
Ronaldo Lessa;Ronaldo Lessa
Marcelo Belinati;Marcelo Belinati
Altineu Côrtes;-
Sandes Júnior;Sandes Júnior
Silas Freire;Silas Freire
Roberto Freire;Roberto Freire
Mainha;Mainha
Fabricio Oliveira;Fabricio Oliveira
Vicente Arruda;Vicente Arruda
Carlos Eduardo Cadoca;Cadoca
José Fogaça;José Fogaça
Penna;Penna
Fernando Torres;Fernando Torres
Davidson Magalhães;Davidson Magalhães
Augusto Coutinho;Augusto Coutinho
Ademir Camilo;Ademir Camilo
Alberto Filho;Alberto Filho
Silas Brasileiro;Silas Brasileiro
Walney Rocha;Walney Rocha
Marquinho Mendes;-
Mauro Pereira;-
João Fernando Coutinho;Joao Fernando Coutinho
Rodrigo Pacheco;Rodrigo Pacheco
Célio Silveira;-
João Paulo Papa;Papa
Antônio Jácome;Jácome
Eduardo Barbosa;Eduardo Barbosa
Jorge Tadeu Mudalen;Jorge Tadeu
Alex Manente;Alex Manente
Paulo Magalhães;Paulo Magalhães
Ricardo Teobaldo;-
Marcelo Squassoni;Marcelo Squasoni
Carlos Marun;Marun
Marcelo Aro;Marcelo Aro
José Guimarães;José Guimarães
Luiz Carlos Busato;Busato
Domingos Sávio;Domingos Sávio
Felipe Bornier;Felipe Bornier
Adail Carneiro;Adail Carneiro
Roberto Balestra;Roberto Balestra
Sérgio Reis;Sergio Reis
Edmilson Rodrigues;-
Macedo;Macedo
Juscelino Filho;-
Baleia Rossi;Baleia Rossi
Roberto Britto;-
Antonio Brito;-
Luiz Fernando Faria;-
Gabriel Guimarães;-
João Arruda;-
André Figueiredo;-
Mauro Lopes;-
Paulo Abi-Ackel;-
Pedro Uczai;-
Maurício Quintella Lessa;-
Afonso Motta;-
Ezequiel Teixeira;-
Jorge Côrte Real;-
Carlos Henrique Gaguim;-
Dr. Sinval Malheiros;-
Mariana Carvalho;-
Antonio Bulhões;-
Zeca Cavalcanti;-
Pompeo de Mattos;-
Adilton Sachetti;-
Conceição Sampaio;-
Carmen Zanotto;-
Vinicius Carvalho;-
Josué Bengtson;-
Pedro Fernandes;-
Marco Maia;-
Paulo Teixeira;-
Rodrigo Martins;-
Beto Salame;-
Heuler Cruvinel;-
Carlos Manato;-
Vitor Valim;-
Silvio Costa;-
Fernando Jordão;-
Mandetta;-
Zé Carlos;-
Alfredo Kaefer;-
Hiran Gonçalves;-
Afonso Hamm;-
Valtenir Pereira;-
Evandro Gussi;-
André Abdon;-
Dilceu Sperafico;-
Domingos Neto;-
Chico Alencar;-
Bohn Gass;-
Hildo Rocha;-
Marinha Raupp;-
Clarissa Garotinho;-
Marcelo Castro;ABSTENÇÃO
Benedita da Silva;-
Rosangela Gomes;-
Moema Gramacho;-
Arnon Bezerra;-
Bruna Furlan;-
Elmar Nascimento;-
Moses Rodrigues;-
Ivan Valente;-
Paulo Pimenta;-
Jorginho Mello;-
Diego Garcia;-
Damião Feliciano;-
Takayama;-
Nilson Leitão;-
Leandre;-
Eros Biondini;-
Fernando Coelho Filho;-
Claudio Cajado;-
Wadih Damous;-
Celso Jacob;-
Ana Perugini;-
João Carlos Bacelar;-
Padre João;-
Missionário José Olimpio;-
Laerte Bessa;-
Leônidas Cristino;-
Pedro Vilela;-
Arthur Oliveira Maia;-
José Rocha;-
Celso Russomanno;-
Toninho Pinheiro;-
Marcon;-
Sibá Machado;-
Bilac Pinto;-
Cícero Almeida;-
José Otávio Germano;-
Andre Moura;-
Lobbe Neto;-
Assis do Couto;-
Pastor Eurico;-
Professor Victório Galli;-
Iracema Portella;-
Danilo Forte;-
Paulo Azi;-
Waldir Maranhão;-
-one Morgado;-
Wellington Roberto;-
Jony Marcos;-
Glauber Braga;-
Mara Gabrilli;-
Dagoberto;-
Givaldo Carimbão;-
Silas Câmara;-
Leonardo Monteiro;-
Jéssica Sales;-
Marcelo Álvaro Antônio;-
Major Olimpio;-
Valdir Colatto;-
Luciano Ducci;-
Valadares Filho;-
Weverton Rocha;-
Julio Lopes;-
João Derly;-
Celso Maldaner;-
Jorge Solla;-
Jutahy Junior;-
Toninho Wandscheer;-
Valmir Assunção;-
Walter Alves;-
Nilson Pinto;-
Anderson Ferreira;-
Hermes Parcianello;-
Zeca do Pt;-
Tadeu Alencar;-
Luizianne Lins;-
Nelson Marchezan Junior;-
Dr. João;-
Lucio Vieira Lima;-
Marcos Rotta;-
Junior Marreca;-
Augusto Carvalho;-
Capitão Augusto;-
Luiz Cláudio;-
Alexandre Valle;-
Ronaldo Martins;-
Vitor Lippi;-
Jefferson Campos;-
Marco Tebaldi;-
Arthur Virgílio Bisneto;-
Margarida Salomão;-
Félix Mendonça Júnior;-
Irajá Abreu;-
Marcos Abrão;-
Orlando Silva;-
Uldurico Junior;-
Eliziane Gama;-
Renato Molling;-
Beto Mansur;-
Renzo Braz;-
Rodrigo de Castro;-
Márcio Marinho;-
Cleber Verde;-
Carlos Andrade;-
Paulo Foletto;-
Nilton Capixaba;-
Fabio Garcia;-
João Campos;-
Rogério Marinho;-
Rodrigo Maia;-
Aureo;-
Leonardo Quintão;-
Mário Heringer;-
Jaime Martins;-
Lelo Coimbra;-
Alice Portugal;-
Marcos Rogério;-
Alberto Fraga;-
Celso Pansera;-
Wladimir Costa;-
José Mentor;-
Marinaldo Rosendo;-
Samuel Moreira;-
Jerônimo Goergen;-
Ricardo Izar;-
Andres Sanchez;-
Vinicius Gurgel;-
Max Filho;-
Laudivio Carvalho;-
Rubens Otoni;-
Walter Ihoshi;-
Marcelo Aguiar;-
Wadson Ribeiro;-
Fernando Monteiro;-
Edinho Bez;-
Elizeu Dionizio;-
Pastor Franklin;-
Fabio Reis;-
Misael Varella;-
Sergio Vidigal;-
Professora Dorinha Seabra Rezende;-
Miro Teixeira;-
Beto Rosado;-
Edio Lopes;-
Lincoln Portela;-
Rocha;-
Alceu Moreira;-
Chico Lopes;-
Pedro Chaves;-
Daniel Vilela;-
João Gualberto;-
Júlio Cesar;-
Brunny;-
Luiz Lauro Filho;-
Rogério Peninha Mendonça;-
Júlia Marinho;-
Paulo Freire;-
Antonio Imbassahy;-
Heitor Schuch;-
Silvio Torres;-
Givaldo Vieira;-
Francisco Floriano;-
Vicentinho Júnior;-
Veneziano Vital do Rêgo;-
Carlos Sampaio;-
Giacobo;-
Beto Faro;-
Erika Kokay;-
Heráclito Fortes;-
Moroni Torgan;-
Carlos Melles;-
Marcio Alvino;-
Jair Bolsonaro;-
Sergio Souza;-
Ronaldo Nogueira;-
Jô Moraes;-
Jean Wyllys;-
Danrlei de Deus Hinterholz;-
Lucas Vergilio;-
Hissa Abrahão;-
Lucio Mosquini;-
Keiko Ota;-
Indio da Costa;-
Tereza Cristina;-
Lindomar Garçon;-
Magda Mofatto;-
Subtenente Gonzaga;-
Luis Tibé;-
Bruno Covas;-
Paes Landim;-
Benito Gama;-
Marcus Pestana;-
Arnaldo Jordy;-
Ezequiel Fonseca;-
Alexandre Serfiotis;-
Daniel Coelho;-
Nilto Tatto;-
Eli Corrêa Filho;-
Wilson Filho;-
Ronaldo Benedet;-
Bonifácio de Andrada;-
Tenente Lúcio;-
José Carlos Araújo;-
Arlindo Chinaglia;-
Marcelo Matos;-
Sandro Alex;-
Mendonça Filho;-
Giovani Cherini;-
Tia Eron;-
André Fufuca;-
Benjamin Maranhão;-
Luis Carlos Heinze;-
Alfredo Nascimento;-
Renata Abreu;-
Cabo Sabino;-
Sergio Zveiter;-
Rafael Motta;-
Rômulo Gouveia;-
Marx Beltrão;-
Fernando Marroni;-
Raul Jungmann;-
